I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-19,-97,-78,58,29,-87,97,78,312,-87,-283,58
-19,-97,-78,58,29,-87,97,78,312,-87,-283,58
-19,-97,-78,58,29,-87,97,78,312,-87,-283,58
-19,-97,-78,58,29,-87,97,78,312,-87,-283,58
-19,-97,-78,58,29,-87,102,87,322,-87,-273,68
-19,-97,-78,58,29,-87,107,87,322,-87,-273,68
-19,-97,-78,58,29,-87,112,87,322,-87,-273,68
-19,-97,-78,58,29,-87,117,87,322,-87,-273,68
-14,-97,-82,56,34,-90,126,87,326,-82,-268,73
-9,-97,-87,53,39,-92,126,87,331,-78,-263,78
-4,-97,-92,51,43,-95,126,87,336,-73,-258,82
0,-97,-97,48,48,-97,126,87,341,-68,-253,87
-4,-87,-82,46,39,-85,122,87,331,-78,-258,73
-9,-87,-78,48,34,-82,117,87,331,-78,-263,68
-14,-87,-73,51,29,-80,112,87,331,-78,-268,63
-19,-87,-68,53,24,-78,107,87,331,-78,-273,58
-19,-97,-78,58,29,-87,107,97,336,-73,-263,68
-19,-97,-78,58,29,-87,107,97,341,-68,-263,68
-19,-97,-78,58,29,-87,107,97,346,-63,-263,68
-19,-97,-78,58,29,-87,107,97,351,-58,-263,68
-9,-82,-73,46,31,-78,107,97,351,-58,-263,68
-9,-78,-68,43,29,-73,107,97,351,-58,-263,68
-9,-73,-63,41,26,-68,107,97,351,-58,-263,68
-9,-68,-58,39,24,-63,107,97,351,-58,-263,68
0,-68,-68,34,34,-68,107,97,361,-48,-263,58
0,-68,-68,34,34,-68,107,97,361,-48,-263,58
0,-68,-68,34,34,-68,107,97,361,-48,-263,58
0,-68,-68,34,34,-68,107,97,361,-48,-263,58
9,-58,-68,24,39,-63,107,97,370,-48,-253,68
9,-58,-68,24,39,-63,107,97,370,-48,-253,68
9,-58,-68,24,39,-63,107,97,370,-48,-253,68
9,-58,-68,24,39,-63,107,97,370,-48,-253,68
9,-58,-68,24,39,-63,107,97,370,-39,-253,58
9,-58,-68,24,39,-63,107,97,370,-39,-253,58
9,-58,-68,24,39,-63,107,97,370,-39,-253,58
9,-58,-68,24,39,-63,107,97,370,-39,-253,58
19,-48,-68,14,43,-58,117,107,385,-29,-244,73
19,-48,-68,14,43,-58,117,107,390,-29,-244,78
19,-48,-68,14,43,-58,117,107,395,-29,-244,82
19,-48,-68,14,43,-58,117,107,400,-29,-244,87
19,-39,-58,9,39,-48,107,117,409,-19,-244,82
19,-39,-58,9,39,-48,107,117,409,-19,-244,78
19,-39,-58,9,39,-48,107,117,409,-19,-244,73
19,-39,-58,9,39,-48,107,117,409,-19,-244,68
19,-29,-48,4,34,-39,107,126,414,-9,-239,78
19,-29,-48,4,34,-39,107,126,419,-9,-234,78
19,-29,-48,4,34,-39,107,126,424,-9,-229,78
19,-29,-48,4,34,-39,107,126,429,-9,-224,78
19,-19,-39,0,29,-29,117,136,434,4,-209,82
19,-19,-39,0,29,-29,117,136,439,9,-204,87
19,-19,-39,0,29,-29,117,136,444,14,-200,92
19,-19,-39,0,29,-29,117,136,448,19,-195,97
19,-9,-29,-4,24,-19,126,146,463,29,-204,107
19,-9,-29,-4,24,-19,126,146,468,29,-204,107
19,-9,-29,-4,24,-19,126,146,473,29,-204,107
19,-9,-29,-4,24,-19,126,146,478,29,-204,107
19,-9,-29,-4,24,-19,126,156,483,34,-204,97
19,-9,-29,-4,24,-19,126,156,488,39,-204,97
19,-9,-29,-4,24,-19,126,156,492,43,-204,97
19,-9,-29,-4,24,-19,126,156,497,48,-204,97
9,0,-9,-4,9,-4,126,161,517,53,-200,102
9,0,-9,-4,9,-4,126,165,527,58,-195,107
9,0,-9,-4,9,-4,126,170,536,63,-190,112
9,0,-9,-4,9,-4,126,175,546,68,-185,117
9,9,0,-9,4,4,117,185,551,73,-180,117
9,9,0,-9,4,4,117,185,556,78,-175,117
9,9,0,-9,4,4,117,185,561,82,-170,117
9,9,0,-9,4,4,117,185,566,87,-165,117
9,19,9,-14,0,14,126,185,580,97,-165,126
9,19,9,-14,0,14,126,185,585,97,-165,126
9,19,9,-14,0,14,126,185,590,97,-165,126
9,19,9,-14,0,14,126,185,595,97,-165,126
19,24,4,-21,7,14,136,190,610,102,-161,136
19,29,9,-24,4,19,136,195,614,107,-156,136
19,34,14,-26,2,24,136,200,619,112,-151,136
19,39,19,-29,0,29,136,204,624,117,-146,136
19,39,19,-29,0,29,136,204,634,126,-136,146
19,39,19,-29,0,29,136,204,634,126,-136,146
19,39,19,-29,0,29,136,204,634,126,-136,146
19,39,19,-29,0,29,136,204,634,126,-136,146
19,39,19,-29,0,29,136,214,634,117,-126,146
19,39,19,-29,0,29,136,214,634,117,-126,146
19,39,19,-29,0,29,136,214,634,117,-126,146
19,39,19,-29,0,29,136,214,634,117,-126,146
19,39,19,-29,0,29,126,204,629,112,-136,146
19,39,19,-29,0,29,126,204,624,107,-136,146
19,39,19,-29,0,29,126,204,619,102,-136,146
19,39,19,-29,0,29,126,204,614,97,-136,146
19,39,19,-29,0,29,136,204,610,82,-146,146
19,39,19,-29,0,29,136,204,605,78,-146,146
19,39,19,-29,0,29,136,204,600,73,-146,146
19,39,19,-29,0,29,136,204,595,68,-146,146
19,39,19,-29,0,29,131,195,580,53,-156,141
19,39,19,-29,0,29,126,195,575,48,-156,136
19,39,19,-29,0,29,122,195,570,43,-156,131
19,39,19,-29,0,29,117,195,566,39,-156,126
29,39,9,-34,9,24,117,185,551,24,-170,126
29,39,9,-34,9,24,117,185,546,19,-175,126
29,39,9,-34,9,24,117,185,541,14,-180,126
29,39,9,-34,9,24,117,185,536,9,-185,126
19,29,9,-24,4,19,117,175,527,4,-195,126
19,29,9,-24,4,19,117,175,517,0,-195,126
19,29,9,-24,4,19,117,175,507,-4,-195,126
19,29,9,-24,4,19,117,175,497,-9,-195,126
19,29,9,-24,4,19,112,161,478,-24,-209,122
19,29,9,-24,4,19,107,156,468,-29,-214,117
19,29,9,-24,4,19,102,151,458,-34,-219,112
19,29,9,-24,4,19,97,146,448,-39,-224,107
29,29,0,-29,14,14,87,136,429,-53,-234,97
29,29,0,-29,14,14,87,136,419,-58,-234,97
29,29,0,-29,14,14,87,136,409,-63,-234,97
29,29,0,-29,14,14,87,136,400,-68,-234,97
39,29,-9,-34,24,9,78,126,390,-78,-224,97
39,29,-9,-34,24,9,78,117,380,-78,-224,97
39,29,-9,-34,24,9,78,107,370,-78,-224,97
39,29,-9,-34,24,9,78,97,361,-78,-224,97
39,39,0,-39,19,19,68,97,346,-68,-234,97
39,39,0,-39,19,19,68,97,341,-68,-234,97
39,39,0,-39,19,19,68,97,336,-68,-234,97
39,39,0,-39,19,19,68,97,331,-68,-234,97
48,39,-9,-43,29,14,58,92,317,-68,-234,87
48,39,-9,-43,29,14,58,87,312,-68,-234,87
48,39,-9,-43,29,14,58,82,307,-68,-234,87
48,39,-9,-43,29,14,58,78,302,-68,-234,87
39,29,-9,-34,24,9,48,68,287,-78,-234,87
39,29,-9,-34,24,9,48,68,283,-78,-234,87
39,29,-9,-34,24,9,48,68,278,-78,-234,87
39,29,-9,-34,24,9,48,68,273,-78,-234,87
48,19,-29,-34,39,-4,39,68,263,-78,-224,78
48,19,-29,-34,39,-4,39,68,263,-78,-224,78
48,19,-29,-34,39,-4,39,68,263,-78,-224,78
48,19,-29,-34,39,-4,39,68,263,-78,-224,78
39,29,-9,-34,24,9,39,58,253,-78,-219,87
39,29,-9,-34,24,9,39,58,253,-78,-214,87
39,29,-9,-34,24,9,39,58,253,-78,-209,87
39,29,-9,-34,24,9,39,58,253,-78,-204,87
43,29,-14,-36,29,7,29,68,244,-78,-204,78
48,29,-19,-39,34,4,29,68,244,-78,-204,78
53,29,-24,-41,39,2,29,68,244,-78,-204,78
58,29,-29,-43,43,0,29,68,244,-78,-204,78
48,19,-29,-34,39,-4,39,68,244,-78,-195,87
48,19,-29,-34,39,-4,39,68,244,-78,-195,87
48,19,-29,-34,39,-4,39,68,244,-78,-195,87
48,19,-29,-34,39,-4,39,68,244,-78,-195,87
58,19,-39,-39,48,-9,29,68,234,-78,-204,97
58,19,-39,-39,48,-9,29,68,234,-78,-204,97
58,19,-39,-39,48,-9,29,68,234,-78,-204,97
58,19,-39,-39,48,-9,29,68,234,-78,-204,97
58,9,-48,-34,53,-19,39,68,234,-78,-195,82
58,9,-48,-34,53,-19,39,68,234,-78,-195,78
58,9,-48,-34,53,-19,39,68,234,-78,-195,73
58,9,-48,-34,53,-19,39,68,234,-78,-195,68
68,0,-68,-34,68,-34,39,68,234,-87,-200,63
68,0,-68,-34,68,-34,39,68,234,-87,-204,58
68,0,-68,-34,68,-34,39,68,234,-87,-209,53
68,0,-68,-34,68,-34,39,68,234,-87,-214,48
58,0,-58,-29,58,-29,39,78,234,-97,-224,53
58,0,-58,-29,58,-29,39,78,234,-97,-224,58
58,0,-58,-29,58,-29,39,78,234,-97,-224,63
58,0,-58,-29,58,-29,39,78,234,-97,-224,68
58,0,-58,-29,58,-29,39,68,234,-97,-234,68
58,0,-58,-29,58,-29,39,68,234,-97,-234,68
58,0,-58,-29,58,-29,39,68,234,-97,-234,68
58,0,-58,-29,58,-29,39,68,234,-97,-234,68
58,0,-58,-29,58,-29,39,68,234,-97,-234,68
58,0,-58,-29,58,-29,39,68,234,-97,-234,68
58,0,-58,-29,58,-29,39,68,234,-97,-234,68
58,0,-58,-29,58,-29,39,68,234,-97,-234,68
58,9,-48,-34,53,-19,29,68,224,-97,-244,58
58,9,-48,-34,53,-19,29,68,224,-97,-244,58
58,9,-48,-34,53,-19,29,68,224,-97,-244,58
58,9,-48,-34,53,-19,29,68,224,-97,-244,58
58,9,-48,-34,53,-19,39,58,224,-97,-244,53
58,9,-48,-34,53,-19,39,58,224,-97,-244,48
58,9,-48,-34,53,-19,39,58,224,-97,-244,43
58,9,-48,-34,53,-19,39,58,224,-97,-244,39
58,19,-39,-39,48,-9,39,68,224,-87,-244,48
58,19,-39,-39,48,-9,39,68,224,-87,-244,48
58,19,-39,-39,48,-9,39,68,224,-87,-244,48
58,19,-39,-39,48,-9,39,68,224,-87,-244,48
48,19,-29,-34,39,-4,39,58,214,-87,-234,48
48,19,-29,-34,39,-4,39,58,214,-87,-234,48
48,19,-29,-34,39,-4,39,58,214,-87,-234,48
48,19,-29,-34,39,-4,39,58,214,-87,-234,48
48,19,-29,-34,39,-4,34,48,204,-87,-234,58
48,19,-29,-34,39,-4,29,48,204,-87,-234,58
48,19,-29,-34,39,-4,24,48,204,-87,-234,58
48,19,-29,-34,39,-4,19,48,204,-87,-234,58
58,19,-39,-39,48,-9,29,48,204,-78,-219,58
58,19,-39,-39,48,-9,29,48,204,-78,-214,58
58,19,-39,-39,48,-9,29,48,204,-78,-209,58
58,19,-39,-39,48,-9,29,48,204,-78,-204,58
58,29,-29,-43,43,0,19,48,195,-78,-195,63
58,29,-29,-43,43,0,19,48,195,-78,-195,68
58,29,-29,-43,43,0,19,48,195,-78,-195,73
58,29,-29,-43,43,0,19,48,195,-78,-195,78
68,39,-29,-53,48,4,9,39,195,-68,-185,78
68,39,-29,-53,48,4,9,39,195,-68,-185,78
68,39,-29,-53,48,4,9,39,195,-68,-185,78
68,39,-29,-53,48,4,9,39,195,-68,-185,78
78,29,-48,-53,63,-9,9,39,190,-68,-170,92
78,34,-43,-56,61,-4,9,39,190,-68,-161,97
78,43,-34,-61,56,4,9,39,185,-63,-156,102
