I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
39,19,-19,-29,29,0,-9,-53,-29,-58,-78,-78
39,14,-24,-26,31,-4,0,-53,-24,-58,-78,-82
34,14,-19,-24,26,-2,4,-53,-24,-58,-78,-87
19,4,-14,-12,17,-4,9,-53,-24,-68,-78,-92
9,-14,-24,2,17,-19,19,-48,-43,-73,-92,-87
0,-29,-29,14,14,-29,29,-39,-48,-82,-107,-92
-4,-39,-34,21,14,-36,34,-34,-53,-97,-117,-97
-14,-53,-39,34,12,-46,39,-39,-58,-107,-126,-107
-4,-43,-39,24,17,-41,29,-48,-63,-107,-136,-117
-9,-48,-39,29,14,-43,29,-53,-73,-117,-141,-117
-14,-53,-39,34,12,-46,29,-53,-78,-122,-136,-126
-14,-58,-43,36,14,-51,29,-53,-82,-122,-131,-131
-24,-68,-43,46,9,-56,29,-58,-82,-126,-136,-136
-24,-68,-43,46,9,-56,24,-58,-82,-126,-141,-141
-24,-68,-43,46,9,-56,24,-58,-82,-126,-146,-146
-29,-68,-39,48,4,-53,29,-58,-82,-126,-156,-151
-29,-73,-43,51,7,-58,29,-58,-82,-126,-156,-141
-29,-73,-43,51,7,-58,29,-58,-82,-126,-156,-141
-29,-73,-43,51,7,-58,29,-58,-82,-126,-156,-141
-29,-73,-43,51,7,-58,29,-58,-82,-131,-156,-141
-29,-63,-34,46,2,-48,29,-53,-82,-131,-146,-146
-29,-63,-34,46,2,-48,29,-53,-82,-131,-146,-146
-29,-63,-34,46,2,-48,29,-53,-82,-126,-146,-146
-29,-63,-34,46,2,-48,29,-53,-82,-126,-146,-141
-29,-63,-34,46,2,-48,39,-53,-82,-126,-156,-141
-29,-63,-34,46,2,-48,39,-53,-78,-122,-156,-141
-29,-63,-34,46,2,-48,39,-48,-78,-117,-151,-141
-29,-63,-34,46,2,-48,39,-48,-73,-117,-151,-136
-39,-58,-19,48,-9,-39,29,-48,-73,-117,-146,-146
-39,-58,-19,48,-9,-39,34,-48,-73,-117,-146,-146
-39,-58,-19,48,-9,-39,34,-43,-73,-117,-146,-146
-39,-58,-19,48,-9,-39,34,-43,-68,-112,-146,-146
-39,-58,-19,48,-9,-39,43,-34,-68,-112,-146,-146
-39,-63,-24,51,-7,-43,43,-34,-68,-112,-146,-141
-39,-63,-24,51,-7,-43,43,-34,-63,-112,-146,-141
-39,-58,-19,48,-9,-39,43,-34,-63,-112,-146,-146
-29,-58,-29,43,0,-43,39,-43,-73,-122,-156,-146
-34,-58,-24,46,-4,-41,39,-43,-63,-122,-156,-146
-34,-58,-24,46,-4,-41,48,-43,-63,-117,-146,-136
-34,-43,-9,39,-12,-26,39,-53,-58,-107,-126,-122
-34,-34,0,34,-17,-17,34,-48,-48,-78,-97,-107
-34,-39,-4,36,-14,-21,53,-4,-9,-43,-82,-107
-29,-58,-29,43,0,-43,97,68,29,-9,-68,-117
-4,-48,-43,26,19,-46,131,141,87,48,-34,-97
24,-39,-63,7,43,-51,165,209,170,146,29,-63
53,-34,-87,-9,70,-61,219,312,283,268,122,-4
107,-19,-126,-43,117,-73,229,409,409,429,248,68
170,24,-146,-97,158,-61,190,507,556,639,400,161
263,87,-175,-175,219,-43,161,614,766,902,600,287
326,131,-195,-229,261,-31,136,702,956,1127,756,385
370,141,-229,-256,300,-43,92,683,1005,1200,780,405
370,146,-224,-258,297,-39,19,502,883,1044,649,341
341,165,-175,-253,258,-4,-68,239,658,775,448,253
283,185,-97,-234,190,43,-170,14,483,512,253,156
219,102,-117,-161,168,-7,-180,-78,351,287,9,-39
141,-112,-253,-14,197,-183,-151,-126,234,34,-292,-322
53,-263,-317,104,185,-290,-170,-287,87,-185,-512,-517
-39,-283,-244,161,102,-263,-287,-556,-102,-346,-585,-566
-122,-283,-161,202,19,-222,-370,-756,-307,-488,-649,-580
-185,-307,-122,246,-31,-214,-400,-834,-458,-619,-702,-605
-214,-317,-102,265,-56,-209,-448,-868,-585,-722,-736,-595
-214,-326,-112,270,-51,-219,-502,-932,-697,-780,-746,-585
-200,-322,-122,261,-39,-222,-531,-951,-746,-800,-741,-580
-185,-292,-107,239,-39,-200,-531,-902,-702,-736,-688,-541
-165,-258,-92,212,-36,-175,-512,-834,-639,-658,-614,-507
-151,-214,-63,183,-43,-139,-478,-766,-605,-614,-570,-473
-122,-165,-43,143,-39,-104,-444,-702,-556,-556,-517,-414
-78,-126,-48,102,-14,-87,-414,-605,-488,-483,-448,-346
-58,-97,-39,78,-9,-68,-351,-517,-439,-434,-414,-307
-48,-82,-34,65,-7,-58,-283,-424,-385,-385,-375,-278
-43,-68,-24,56,-9,-46,-204,-336,-317,-326,-317,-253
-34,-68,-34,51,0,-51,-131,-263,-253,-268,-268,-229
-39,-68,-29,53,-4,-48,-82,-200,-209,-234,-244,-209
-34,-68,-34,51,0,-51,-53,-165,-175,-204,-224,-209
-29,-58,-29,43,0,-43,-29,-131,-170,-185,-214,-190
-14,-58,-43,36,14,-51,-19,-102,-151,-180,-195,-170
-9,-53,-43,31,17,-48,-14,-82,-126,-161,-180,-156
-4,-43,-39,24,17,-41,4,-63,-92,-141,-161,-146
-9,-34,-24,21,7,-29,19,-39,-78,-122,-146,-136
0,-34,-34,17,17,-34,24,-29,-63,-112,-131,-136
0,-43,-43,21,21,-43,24,-29,-68,-126,-136,-146
0,-43,-43,21,21,-43,29,-24,-73,-126,-146,-146
0,-43,-43,21,21,-43,34,-24,-78,-126,-151,-146
0,-43,-43,21,21,-43,34,-19,-82,-126,-151,-136
9,-39,-48,14,29,-43,43,-9,-73,-122,-151,-146
9,-39,-48,14,29,-43,43,-4,-68,-117,-146,-141
14,-39,-53,12,34,-46,43,0,-63,-112,-141,-141
14,-39,-53,12,34,-46,43,9,-53,-102,-141,-141
4,-34,-39,14,21,-36,63,14,-43,-92,-131,-136
9,-34,-43,12,26,-39,63,14,-48,-92,-131,-131
9,-34,-43,12,26,-39,63,14,-48,-92,-131,-131
9,-34,-43,12,26,-39,63,19,-48,-92,-131,-131
9,-34,-43,12,26,-39,53,24,-43,-82,-117,-122
9,-34,-43,12,26,-39,58,24,-43,-78,-112,-112
9,-39,-48,14,29,-43,58,24,-43,-73,-112,-112
9,-39,-48,14,29,-43,58,34,-34,-68,-112,-112
9,-24,-34,7,21,-29,63,34,-34,-68,-107,-112
9,-19,-29,4,19,-24,63,34,-34,-68,-107,-112
9,-19,-29,4,19,-24,63,34,-29,-68,-102,-112
14,-19,-34,2,24,-26,63,39,-29,-68,-102,-112
14,-19,-34,2,24,-26,73,39,-29,-73,-102,-117
14,-19,-34,2,24,-26,78,43,-29,-68,-97,-117
14,-19,-34,2,24,-26,78,48,-24,-68,-97,-112
14,-19,-34,2,24,-26,78,48,-24,-68,-97,-107
19,-19,-39,0,29,-29,82,43,-19,-58,-97,-97
19,-19,-39,0,29,-29,82,48,-19,-53,-97,-92
19,-19,-39,0,29,-29,82,53,-14,-53,-92,-92
19,-19,-39,0,29,-29,82,53,-14,-53,-92,-87
19,-19,-39,0,29,-29,73,53,-14,-53,-102,-97
19,-14,-34,-2,26,-24,73,58,-9,-48,-97,-97
19,-14,-34,-2,26,-24,73,58,-4,-48,-97,-97
19,-14,-34,-2,26,-24,78,63,-4,-43,-87,-92
14,-19,-34,2,24,-26,78,68,0,-43,-78,-92
14,-14,-29,0,21,-21,73,68,0,-43,-78,-87
14,-14,-29,0,21,-21,73,73,0,-43,-78,-87
19,-19,-39,0,29,-29,73,78,0,-39,-78,-82
19,-9,-29,-4,24,-19,73,78,14,-34,-68,-82
19,-4,-24,-7,21,-14,73,78,14,-29,-63,-82
24,-4,-29,-9,26,-17,73,87,19,-29,-63,-78
29,-4,-34,-12,31,-19,73,92,24,-29,-58,-78
29,0,-29,-14,29,-14,78,87,19,-9,-58,-73
29,4,-24,-17,26,-9,78,92,19,-9,-48,-73
34,4,-29,-19,31,-12,78,92,19,-9,-43,-68
34,9,-24,-21,29,-7,73,97,29,-4,-39,-63
24,0,-24,-12,24,-12,73,112,43,9,-43,-58
34,4,-29,-19,31,-12,73,117,48,14,-39,-53
34,4,-29,-19,31,-12,73,122,48,14,-34,-53
34,9,-24,-21,29,-7,73,126,48,19,-29,-53
43,9,-34,-26,39,-12,68,131,48,14,-19,-53
48,9,-39,-29,43,-14,68,136,53,14,-19,-53
53,9,-43,-31,48,-17,68,141,58,19,-14,-53
53,14,-39,-34,46,-12,68,146,58,24,-9,-43
43,14,-29,-29,36,-7,68,151,68,39,-9,-29
48,19,-29,-34,39,-4,68,156,73,43,-9,-24
48,24,-24,-36,36,0,63,165,78,48,-4,-19
58,29,-29,-43,43,0,63,170,82,58,0,-14
58,24,-34,-41,46,-4,73,165,87,63,9,-14
58,29,-29,-43,43,0,73,175,92,68,9,-14
63,29,-34,-46,48,-2,73,180,97,68,19,-9
68,29,-39,-48,53,-4,73,185,102,73,24,-9
73,39,-34,-56,53,2,73,195,102,68,29,4
78,39,-39,-58,58,0,73,204,107,73,34,14
82,43,-39,-63,61,2,73,214,117,78,39,19
82,43,-39,-63,61,2,73,224,122,82,43,19
87,39,-48,-63,68,-4,68,224,136,102,53,24
92,43,-48,-68,70,-2,68,234,141,112,58,29
97,48,-48,-73,73,0,63,239,141,126,63,29
97,53,-43,-75,70,4,63,248,146,131,73,34
102,53,-48,-78,75,2,53,244,151,136,78,29
107,53,-53,-80,80,0,53,248,156,136,78,34
112,58,-53,-85,82,2,53,258,161,136,78,39
